ParticleID,Time (Years),a,e,i,OMEGA,omega,M,
8,0.0,1.7757941,0.2874868,0.42707044,2.2702868,0.34949175,1.402745,
8,1000.01495,1.7804015,0.28650877,0.41685992,2.168369,0.541203,0.30439085,
8,2000.0052,1.7786951,0.30180565,0.4092241,2.0677116,0.71143585,5.546968,
8,3000.0203,1.7776206,0.31616837,0.4000901,1.9553499,0.87404823,0.12963298,
8,4000.0105,1.7816893,0.3157123,0.38847384,1.8159249,1.0743104,1.2378676,
8,5000.001,1.7777559,0.33407217,0.37804502,1.6813408,1.248126,1.753472,
8,6000.016,1.7787619,0.3366417,0.37323862,1.536836,1.4084935,2.2704606,
8,7000.0063,1.7804886,0.33444083,0.37147173,1.3853468,1.5808245,0.87650985,
8,8000.021,1.7823123,0.3264852,0.3741063,1.2303447,1.7749068,5.095084,
8,9000.012,1.7825115,0.31469485,0.38059053,1.0847915,1.9670762,2.3816876,
8,10000.002,1.7824578,0.30093798,0.38936856,0.95152795,2.161961,6.035238,
8,11000.017,1.7815789,0.2861397,0.3985476,0.8326889,2.3604207,3.5647964,
8,12000.007,1.7806475,0.27397004,0.406087,0.7263944,2.5608206,0.81557506,
8,13000.022,1.7797395,0.26421365,0.41051108,0.6296189,2.7649028,4.280295,
8,14000.013,1.7802948,0.2573683,0.41068757,0.53849936,2.9748538,1.4957813,
8,15000.003,1.7823888,0.2526456,0.40543208,0.4488586,3.1950853,5.8278737,
8,16000.018,1.7825704,0.25838503,0.3970407,0.35761127,3.4311862,4.3077965,
8,17000.008,1.7815334,0.2709101,0.38637552,0.2585,3.6394227,1.6939518,
8,18000.023,1.7811282,0.28479522,0.37293124,0.14772612,3.8363159,5.1189756,
8,19000.014,1.7805593,0.29806292,0.358623,0.023388488,4.0260344,2.080229,
8,20000.004,1.7806245,0.30868104,0.34517884,6.166291,4.214793,5.333042,
8,21000.02,1.7807195,0.31506225,0.33431002,6.009406,4.4130383,2.3325524,
8,22000.01,1.7813884,0.31654748,0.3281365,5.8428206,4.6139293,5.2960734,
8,23000.023,1.7814375,0.31465286,0.32684198,5.6714416,4.8240094,1.25273,
8,24000.014,1.7811503,0.30857298,0.33041385,5.5054855,5.028771,4.0306544,
8,25000.004,1.7808247,0.29868147,0.3376717,5.3531017,5.2268376,0.79966044,
8,26000.02,1.7810496,0.2861667,0.34682795,5.215274,5.423332,3.915845,
8,27000.01,1.7809069,0.27301347,0.35603255,5.091735,5.619671,0.609405,
8,28000.0,1.7808692,0.26130384,0.36423343,4.979742,5.8260283,3.4306157,
8,29000.016,1.7811266,0.25301346,0.36992866,4.87648,6.037459,6.1227136,
8,30000.006,1.7811497,0.24901916,0.37256098,4.7780385,6.2547793,2.266631,
8,31000.02,1.7817969,0.24967223,0.3717332,4.6802216,0.19057813,4.5724435,
8,32000.01,1.7821474,0.2551861,0.36808133,4.578594,0.40016174,0.4354417,
8,33000.0,1.782387,0.2646137,0.36246058,4.4707565,0.6015171,2.6787956,
8,34000.016,1.7822565,0.27696836,0.35576206,4.354242,0.7943141,5.270717,
8,35000.008,1.7822568,0.2892106,0.34847227,4.226302,0.984702,1.8350036,
8,36000.02,1.7819445,0.3009224,0.34214002,4.08741,1.1722827,5.0341883,
8,37000.01,1.7818512,0.31006655,0.33814675,3.937896,1.360091,2.110064,
8,38000.004,1.7823154,0.31507683,0.3378771,3.781094,1.5470148,5.1919355,
8,39000.016,1.7811213,0.31758928,0.34106055,3.6239555,1.7337654,2.8577323,
8,40000.008,1.7819253,0.31390232,0.34878576,3.4720755,1.9167392,5.858559,
8,41000.023,1.7819824,0.306848,0.3593851,3.3298676,2.0936346,1.7161367,
8,42000.01,1.7821517,0.2966463,0.3714351,3.2005265,2.2659798,3.6902668,
8,43000.004,1.7822773,0.2860505,0.38343698,3.0827768,2.436506,5.6164703,
8,44000.02,1.7823119,0.27585545,0.39492148,2.9750874,2.6107178,1.4359568,
8,45000.008,1.7817769,0.26768807,0.4053195,2.8761966,2.7941036,3.6899953,
8,46000.023,1.7815675,0.26211086,0.41300392,2.7843764,2.9832904,6.212905,
8,47000.01,1.7812395,0.26037455,0.41760346,2.6966143,3.176813,2.5353138,
8,48000.004,1.7812033,0.26335976,0.4189693,2.6097643,3.3717914,5.2321963,
8,49000.02,1.7814349,0.27036723,0.41700757,2.5206795,3.5591683,1.7748104,
8,50000.008,1.7814339,0.28108826,0.41223544,2.4271696,3.7398188,4.5842566,
8,51000.023,1.7815208,0.29367986,0.40527764,2.3261347,3.912373,1.2132173,
8,52000.016,1.7814997,0.30698183,0.3967221,2.215313,4.082071,4.068071,
8,53000.004,1.7813331,0.31902227,0.3882023,2.0940626,4.248016,0.66848093,
8,54000.02,1.7813121,0.32859382,0.3808213,1.9622686,4.4146714,3.7502525,
8,55000.01,1.7813785,0.3345991,0.37569675,1.8207542,4.58641,0.2037564,
8,56000.0,1.7802653,0.33695346,0.37376195,1.6754428,4.7555223,3.4769576,
8,57000.016,1.7802851,0.33232984,0.37608284,1.5306628,4.9271693,3.1946223,
8,58000.004,1.779148,0.3308809,0.37897903,1.390959,5.092686,4.4983244,
8,59000.02,1.778551,0.3264384,0.38531694,1.2535309,5.2716937,1.1834888,
8,60000.01,1.7777427,0.31907046,0.39217007,1.129751,5.437203,5.953444,
8,61000.0,1.7787585,0.30437586,0.3988269,1.0226184,5.6015286,3.6993225,
8,62000.016,1.7803108,0.2914208,0.4034241,0.9229667,5.7687645,4.806685,
8,63000.008,1.778331,0.28882778,0.4085505,0.8232554,5.945434,0.62239164,
8,64000.02,1.7780411,0.28509107,0.40931728,0.7304291,6.12016,5.8800774,
8,65000.01,1.7799158,0.28031138,0.4051348,0.643016,0.023110855,2.2365115,
8,66000.0,1.7786355,0.28594783,0.40085357,0.5504435,0.19474179,3.384264,
8,67000.016,1.7778636,0.2940791,0.39366326,0.45461643,0.36233884,2.0275152,
8,68000.01,1.7799227,0.2994213,0.38075092,0.35239574,0.54401886,4.87123,
8,69000.02,1.7785137,0.31121084,0.3699968,0.24198915,0.7031628,6.267148,
8,70000.016,1.777975,0.32182762,0.35799628,0.12017136,0.8636408,4.8604007,
8,71000.0,1.779597,0.3273515,0.3435762,6.263847,1.0536681,1.9436923,
8,72000.016,1.7793518,0.33087018,0.33350894,6.1145654,1.2327769,3.574126,
8,73000.01,1.7774537,0.33252603,0.3276304,5.9593782,1.4065585,0.8357853,
8,74000.02,1.7776128,0.3335547,0.32289383,5.792523,1.6089258,0.73328215,
8,75000.016,1.7771041,0.33217075,0.32265246,5.6329975,1.7915754,0.6317526,
8,76000.01,1.777473,0.32588187,0.32759586,5.4714127,1.9957585,0.4030754,
8,77000.016,1.7775152,0.31701434,0.33418533,5.327947,2.1776986,0.4802163,
8,78000.01,1.7771573,0.30739796,0.34408835,5.192743,2.3736715,0.046853237,
8,79000.02,1.7777313,0.2958113,0.35204193,5.073719,2.5585537,0.16002692,
8,80000.016,1.7772343,0.2889463,0.36096048,4.9632907,2.7562108,5.764689,
8,81000.01,1.7778049,0.2809618,0.36510596,4.862042,2.9474301,5.866401,
8,82000.02,1.777106,0.2819396,0.36918744,4.765209,3.1533701,4.971712,
8,83000.01,1.777846,0.28234175,0.36753651,4.666935,3.3456979,5.1917257,
8,84000.0,1.7775458,0.29173556,0.3646713,4.5696683,3.547476,3.9880915,
8,85000.016,1.7773905,0.3006309,0.35874197,4.4609594,3.7311769,4.376699,
8,86000.01,1.7776194,0.3144524,0.35021284,4.3464,3.9255135,3.203136,
8,87000.02,1.7775217,0.32617447,0.34290275,4.21672,4.1036363,3.3383648,
8,88000.01,1.778387,0.33631513,0.3343381,4.071086,4.3023725,1.7912079,
8,89000.0,1.7775942,0.34746835,0.32891747,3.9176345,4.493751,0.40851256,
8,90000.016,1.7786291,0.35040206,0.328713,3.755154,4.682947,4.69481,
8,91000.01,1.7789073,0.34905502,0.33300188,3.591869,4.873104,1.2637285,
8,92000.02,1.7793539,0.34404272,0.3411079,3.4363952,5.055712,3.4849904,
8,93000.016,1.7800514,0.33675212,0.35144028,3.2917292,5.2294984,4.939614,
8,94000.0,1.7790471,0.32999897,0.3641442,3.1557047,5.4062433,0.36423337,
8,95000.016,1.7782183,0.32179967,0.37835348,3.032612,5.5837407,3.6679432,
8,96000.01,1.778091,0.3120666,0.39048344,2.9231043,5.750935,1.9557745,
8,97000.02,1.7791659,0.29917756,0.3991392,2.8260224,5.9185233,5.295314,
8,98000.016,1.7802638,0.29165167,0.4058767,2.7333734,6.0917783,0.14769448,
8,99000.0,1.7793617,0.29089585,0.41151968,2.6463714,6.278552,0.97068214,
8,100000.016,1.7791266,0.29156408,0.4116076,2.5616653,0.19228001,2.9429572,
8,101000.01,1.7802471,0.29435778,0.4074875,2.47106,0.37789392,3.449204,
8,102000.02,1.7794561,0.30500463,0.40248856,2.3770225,0.5525445,3.6013305,
8,103000.016,1.7795265,0.3163787,0.39333558,2.2740061,0.7357945,5.336571,
8,104000.01,1.7807821,0.32569098,0.38355112,2.157466,0.9103046,5.679261,
8,105000.016,1.7800647,0.33589056,0.37425238,2.0323896,1.0834818,4.734721,
8,106000.01,1.7798566,0.34168833,0.36693385,1.8941897,1.2592486,5.203959,
8,107000.02,1.7804627,0.34596133,0.36150777,1.7506838,1.4345896,4.452083,
8,108000.016,1.7809392,0.34477928,0.3602318,1.6023654,1.614609,3.459332,
8,109000.01,1.7807331,0.3418726,0.36227736,1.4553012,1.7952919,2.3230798,
8,110000.02,1.7807401,0.3339707,0.36717796,1.3176327,1.9670892,1.1209946,
8,111000.01,1.7808204,0.3225762,0.37456244,1.1897702,2.14317,0.26392737,
