ParticleID,Time (Years),a,e,i,OMEGA,omega,M,
1,0.0,1.7757939,0.28748664,0.42707038,2.2702868,0.34949124,1.4027458,
1,1000.01495,1.7804025,0.28651065,0.4168593,2.1683702,0.5412116,0.30466703,
1,2000.0052,1.7787137,0.3018103,0.40921676,2.0677056,0.711495,5.5398736,
1,3000.0203,1.7775985,0.31625885,0.40007517,1.955393,0.8741627,0.12406726,
1,4000.0105,1.7817533,0.31598058,0.3884211,1.8159906,1.0744413,1.1857297,
1,5000.001,1.7787414,0.33288062,0.37786812,1.6780211,1.2569736,0.9443235,
1,6000.016,1.7769274,0.34323257,0.37049717,1.5271084,1.4407337,1.3393726,
1,7000.0063,1.7817417,0.3278396,0.3727474,1.3698857,1.6316167,3.981499,
1,8000.021,1.7804507,0.32548657,0.3757126,1.2158077,1.8270335,2.1946268,
1,9000.012,1.779998,0.31563944,0.3822069,1.0747775,2.0079093,5.8674026,
1,10000.002,1.7800114,0.29487917,0.39415646,0.94569147,2.2270763,1.0660813,
1,11000.017,1.7793194,0.2827491,0.4021649,0.83146495,2.4112403,5.2842884,
1,12000.007,1.7764641,0.27514058,0.41060367,0.7255719,2.615184,6.1240234,
1,13000.022,1.7826302,0.2521468,0.40903944,0.6364321,2.815976,1.2462648,
1,14000.013,1.7776996,0.25743577,0.4126413,0.5463012,3.052764,1.4167796,
1,15000.003,1.7783952,0.25810575,0.40766537,0.45501485,3.2601593,3.197221,
1,16000.018,1.7816778,0.25941977,0.3945291,0.3617921,3.5110924,4.6333675,
1,17000.008,1.7801726,0.27545574,0.38409418,0.26167613,3.707015,2.7988465,
1,18000.023,1.7814319,0.2830003,0.3695165,0.142863,3.9037652,1.0184184,
1,19000.014,1.7788593,0.30303973,0.35218737,0.012970895,4.1245494,2.2409241,
1,20000.004,1.7771932,0.3187155,0.33577174,6.1394043,4.3585763,6.011128,
1,21000.02,1.7780997,0.31959647,0.32885227,5.9740505,4.557139,1.1233865,
1,22000.01,1.7759527,0.3257696,0.32396734,5.7976,4.777111,1.3657078,
1,23000.023,1.7781721,0.31103075,0.3293239,5.627219,4.9998384,0.7379745,
1,24000.014,1.7772533,0.304156,0.33504578,5.470324,5.197764,2.356533,
1,25000.004,1.7765459,0.29013297,0.34764573,5.32566,5.432508,1.4156946,
1,26000.02,1.7781835,0.27393928,0.35562494,5.204936,5.624586,2.761373,
1,27000.01,1.7760285,0.26709443,0.36495954,5.0896063,5.8346615,3.9223783,
1,28000.0,1.7777989,0.25431645,0.3700965,4.992429,6.0745296,2.6018174,
1,29000.016,1.7775444,0.2525042,0.37220547,4.892168,1.6424533E-4,4.330484,
1,30000.006,1.7795442,0.25299838,0.36888143,4.798675,0.25319436,1.2021729,
1,31000.02,1.7806989,0.25712928,0.3633539,4.6939235,0.45975205,5.9467993,
1,32000.01,1.7802756,0.27279398,0.3557651,4.5868053,0.6833237,0.32418257,
1,33000.0,1.7802737,0.2847774,0.3484641,4.465472,0.86903596,4.4377365,
1,34000.016,1.7815737,0.2943682,0.34032324,4.329059,1.0663761,2.6353135,
1,35000.008,1.781558,0.30514362,0.33357114,4.180046,1.2694062,1.1523635,
1,36000.02,1.7806847,0.3145859,0.33067164,4.026323,1.4565184,5.726076,
1,37000.01,1.7786173,0.3165292,0.33243248,3.8691945,1.6414784,4.0904207,
1,38000.004,1.7771301,0.32173604,0.33568254,3.7119617,1.8240583,2.6237848,
1,39000.016,1.7744933,0.3156013,0.3442793,3.563591,1.9937773,0.18509756,
1,40000.008,1.7745831,0.3070457,0.3561023,3.4240978,2.1758773,0.17487374,
1,41000.023,1.7743441,0.29795933,0.36816177,3.2977312,2.3462675,0.63913894,
1,42000.01,1.7741135,0.2870766,0.38116527,3.1833577,2.525843,1.209767,
1,43000.004,1.7745701,0.2763518,0.39188996,3.0809617,2.7015483,1.7366729,
1,44000.02,1.7740688,0.2692686,0.4010354,2.9847486,2.8839903,2.457995,
1,45000.008,1.7743069,0.26468122,0.4073598,2.8956504,3.0754378,2.777386,
1,46000.023,1.7745345,0.26407486,0.41028062,2.8070626,3.2621598,2.9619122,
1,47000.01,1.7743076,0.2689085,0.4105559,2.7197251,3.4527977,3.1829135,
1,48000.004,1.7749537,0.27591816,0.4074975,2.627703,3.6345992,3.3245692,
