ParticleID,Time (Years),a,e,i,OMEGA,omega,M,
4,0.0,1.775794,0.28748655,0.42707053,2.2702863,0.34949183,1.4027457,
4,1000.01495,1.7804021,0.28650972,0.41685972,2.1683695,0.54120827,0.30454978,
4,2000.0052,1.7787057,0.30180818,0.40922004,2.067708,0.71146995,5.542926,
4,3000.0203,1.7776083,0.31622073,0.40008232,1.9553754,0.874108,0.12612985,
4,4000.0105,1.7817217,0.315855,0.38844627,1.8159597,1.0743774,1.210986,
4,5000.001,1.7787149,0.33294526,0.3779206,1.6784451,1.2558066,0.9902789,
4,6000.016,1.7769963,0.34367657,0.37049624,1.5282071,1.4371294,1.300912,
4,7000.0063,1.781715,0.32813823,0.37264723,1.372041,1.6251025,3.974828,
4,8000.021,1.7781512,0.33093116,0.37446824,1.2160908,1.8193378,3.608468,
4,9000.012,1.7789128,0.32121137,0.3794638,1.075647,1.9871349,4.513064,
4,10000.002,1.7802014,0.3088825,0.38636062,0.9456475,2.155838,3.128039,
4,11000.017,1.7770993,0.3010766,0.3959475,0.8205588,2.3467848,3.7320192,
4,12000.007,1.7810794,0.2808647,0.40016338,0.7171139,2.5134754,3.2713165,
4,13000.022,1.7762458,0.27921718,0.40853003,0.6125621,2.7184036,2.842442,
4,14000.013,1.7810783,0.26315325,0.40602887,0.52053964,2.9024613,3.0251012,
4,15000.003,1.7764586,0.27055475,0.40830925,0.42802972,3.1069322,2.2691813,
4,16000.018,1.7813781,0.26363856,0.39882496,0.3330895,3.3024101,2.6479173,
4,17000.008,1.7754266,0.28368005,0.39454496,0.24131452,3.4949946,1.1893877,
4,18000.023,1.7819418,0.28035536,0.37780127,0.12706624,3.703782,3.6350503,
4,19000.014,1.7762679,0.30540192,0.36660954,0.020431343,3.8770564,5.2157307,
4,20000.004,1.7794715,0.30873847,0.35147384,6.163491,4.0746374,5.056738,
4,21000.02,1.7792491,0.31770572,0.33927727,6.018325,4.2561316,3.4980698,
4,22000.01,1.7767192,0.33243454,0.32779625,5.8624015,4.443729,3.1789188,
4,23000.023,1.7816362,0.32096595,0.3253767,5.6869698,4.6526914,5.644394,
4,24000.014,1.7794759,0.32608742,0.32398233,5.507171,4.8768325,4.928112,
4,25000.004,1.7778269,0.3176212,0.33306408,5.3268547,5.1325717,1.8371689,
4,26000.02,1.7781873,0.3058453,0.3414727,5.1789756,5.3224277,3.370241,
4,27000.01,1.7818818,0.28230724,0.35092473,5.053709,5.5147266,3.8122663,
4,28000.0,1.7776829,0.2779004,0.36413318,4.9290757,5.73909,4.3395476,
4,29000.016,1.7783862,0.26687986,0.3707125,4.820971,5.934538,5.7202916,
4,30000.006,1.7811141,0.25514802,0.37311453,4.7212667,6.134589,4.629911,
4,31000.02,1.7765224,0.26315722,0.37893558,4.627084,0.09373105,1.2322102,
4,32000.01,1.7787011,0.26313043,0.37513858,4.526701,0.3034455,2.2363021,
4,33000.0,1.781755,0.2659859,0.36705804,4.4209304,0.5293075,2.402526,
4,34000.016,1.7788203,0.2860503,0.3621757,4.3141823,0.7231517,2.8272817,
4,35000.008,1.7769606,0.30123058,0.3557373,4.1919146,0.9009483,3.8001013,
4,36000.02,1.7787147,0.3126799,0.3447273,4.0480423,1.1237261,1.8107175,
4,37000.01,1.7781953,0.32741222,0.3367544,3.8919272,1.3397402,5.4024835,
4,38000.004,1.777115,0.33421806,0.33609048,3.7341552,1.5204607,6.104899,
4,39000.016,1.7767541,0.33768517,0.33878058,3.5643313,1.7289999,0.35177717,
4,40000.008,1.7779127,0.3301558,0.34804285,3.4068592,1.917939,0.6920616,
4,41000.023,1.7766757,0.32737434,0.3583573,3.2567267,2.0998726,1.371097,
4,42000.01,1.7777452,0.31326854,0.3739992,3.1235662,2.2910469,0.7758449,
4,43000.004,1.7772442,0.30367726,0.38680962,3.0038242,2.4596314,1.7077466,
4,44000.02,1.7776353,0.29030636,0.40131187,2.8993917,2.6545606,0.5650819,
4,45000.008,1.777421,0.2815325,0.4109415,2.8013272,2.8310332,1.5829682,
4,46000.023,1.7777228,0.2754959,0.4192413,2.7144985,3.0391781,0.10237618,
4,47000.01,1.7773957,0.27506483,0.42290074,2.6258307,3.222923,1.1302743,
4,48000.004,1.7775965,0.28055367,0.42297077,2.5424213,3.4335077,6.0436826,
4,49000.02,1.7774817,0.28853455,0.41971767,2.4502623,3.6095178,0.95428866,
4,50000.008,1.777238,0.30408123,0.41275367,2.3568177,3.8013363,6.210148,
4,51000.023,1.7776917,0.3151861,0.4039694,2.248623,3.9689775,1.1390274,
4,52000.016,1.7766272,0.3336274,0.39391574,2.1336434,4.1411867,0.78920245,
4,53000.004,1.7777281,0.34257317,0.3837026,1.9995823,4.3191476,1.5319226,
4,54000.02,1.7767637,0.35319784,0.37686595,1.8605379,4.4830017,2.2231338,
4,55000.01,1.776965,0.35824335,0.3716444,1.7049752,4.6743827,2.421678,
4,56000.0,1.7770302,0.35679498,0.37197214,1.5506965,4.85386,3.918075,
4,57000.016,1.7770483,0.3534465,0.37530732,1.4020497,5.0274878,5.0780206,
4,58000.004,1.7765964,0.34741086,0.38264617,1.2562288,5.2128925,5.9353013,
4,59000.02,1.7771132,0.33440787,0.39271393,1.1275657,5.3914156,0.50082105,
4,60000.01,1.7770641,0.32282424,0.401267,1.0114236,5.5615115,1.6544498,
4,61000.0,1.7767005,0.3141379,0.41050932,0.90332675,5.7457438,2.3087974,
4,62000.016,1.7770636,0.30408904,0.41646495,0.8092825,5.9342737,2.7567525,
4,63000.008,1.7772241,0.2994009,0.41828284,0.7180889,6.1165442,3.9737148,
4,64000.02,1.7765208,0.3029072,0.41858402,0.6307611,0.026524428,4.3644342,
4,65000.01,1.7772608,0.30752212,0.41224915,0.5436666,0.21979465,4.9547367,
4,66000.0,1.7772504,0.31723943,0.40308186,0.44925332,0.39657468,0.023602447,
4,67000.016,1.7762828,0.33424395,0.3913763,0.349998,0.57401896,0.54111797,
4,68000.01,1.7775892,0.34725085,0.37462446,0.23511676,0.75672245,1.319334,
4,69000.02,1.7769971,0.3606799,0.35871103,0.103195556,0.93213344,2.6811345,
4,70000.016,1.7766815,0.37564072,0.34289053,6.2390585,1.1181043,2.8614452,
4,71000.0,1.7782773,0.38076267,0.33034626,6.065396,1.3267893,2.8147216,
4,72000.016,1.7806996,0.38477862,0.321945,5.8738704,1.5585399,4.6100492,
4,73000.01,1.7806588,0.38189012,0.32209492,5.691343,1.764098,3.3759565,
4,74000.02,1.780884,0.37495348,0.32888308,5.508856,1.9879136,2.799028,
4,75000.016,1.780305,0.36623907,0.33899438,5.3467216,2.189008,1.4993798,
4,76000.01,1.7810326,0.35166514,0.3517801,5.2057095,2.3856313,0.2595397,
4,77000.016,1.7804356,0.34172195,0.36565053,5.078563,2.5868096,0.01160758,
4,78000.01,1.7807785,0.33009127,0.37510455,4.96893,2.773575,4.6571274,
4,79000.02,1.779413,0.32481113,0.38403293,4.869217,2.984062,5.859792,
4,80000.016,1.7806545,0.32188794,0.38583595,4.7736034,3.1774304,4.396114,
4,81000.01,1.7793971,0.329236,0.3856322,4.680473,3.3837118,5.4406266,
4,82000.02,1.7809591,0.33675817,0.37801114,4.5797696,3.584341,5.5254397,
4,83000.01,1.7802271,0.35278538,0.36942926,4.4702644,3.7721891,4.8863673,
4,84000.0,1.7799108,0.36309162,0.35614222,4.3407106,3.9704502,5.302388,
4,85000.016,1.7807702,0.37847555,0.34607413,4.200149,4.1483684,5.749887,
4,86000.01,1.7808456,0.3921618,0.3345227,4.033336,4.3642106,6.0406017,
4,87000.02,1.7826452,0.39984238,0.32885554,3.850997,4.575736,2.6394663,
4,88000.01,1.7825563,0.40220588,0.32990736,3.6606207,4.7929754,3.630527,
4,89000.0,1.7825608,0.40112093,0.33763698,3.4741967,5.005116,4.5793643,
4,90000.016,1.7826576,0.39440846,0.35180274,3.3006763,5.2105,5.648376,
4,91000.01,1.7826126,0.38279665,0.3698841,3.1490817,5.4035096,0.41664442,
4,92000.02,1.783028,0.36852568,0.38786972,3.019059,5.5817003,1.4005042,
4,93000.016,1.78228,0.35585144,0.40541956,2.904732,5.760825,2.3045235,
4,94000.0,1.7824855,0.34310514,0.4195003,2.805818,5.9413204,3.3460364,
4,95000.016,1.7829062,0.33321574,0.42834285,2.715864,6.1213646,4.336776,
4,96000.01,1.7823334,0.33061627,0.43357763,2.6292152,0.022371944,5.1257668,
4,97000.02,1.7823886,0.33294252,0.4334412,2.5440223,0.20910737,6.1721954,
4,98000.016,1.7826934,0.3393071,0.42786238,2.4540195,0.39374697,0.8009343,
4,99000.0,1.7828419,0.35030085,0.4192171,2.355968,0.56977856,1.5734416,
4,100000.016,1.7820694,0.36500064,0.40704387,2.2468872,0.74822795,2.6224573,
4,101000.01,1.7824894,0.37772512,0.39304143,2.120685,0.92910314,3.73466,
4,102000.02,1.7827017,0.38821548,0.38035786,1.9778979,1.1118621,5.1782885,
4,103000.016,1.7837708,0.39713383,0.36967343,1.8195628,1.3040878,3.5609066,
4,104000.01,1.7837728,0.4004498,0.36428422,1.6511143,1.497787,2.062113,
4,105000.016,1.7841283,0.39796895,0.36496195,1.4788173,1.6976358,0.8201458,
4,106000.01,1.78361,0.391997,0.3709304,1.3129559,1.8934354,5.4239087,
4,107000.02,1.7835281,0.38099885,0.38087526,1.1618629,2.0802212,3.6935377,
4,108000.016,1.7838392,0.36636028,0.3922856,1.028448,2.2596998,1.9786097,
4,109000.01,1.7838851,0.3511898,0.40352985,0.91068554,2.4403,0.312783,
4,110000.02,1.7838055,0.338454,0.4126356,0.80540633,2.6218348,4.903031,
4,111000.01,1.7837656,0.3281935,0.4176209,0.7101141,2.8021865,3.1653373,
4,112000.0,1.7838995,0.32155755,0.41817805,0.62109995,2.989738,1.5046383,
4,113000.016,1.7836478,0.32200497,0.41489562,0.53347874,3.1796641,6.162959,
4,114000.01,1.7834158,0.32714728,0.40698868,0.44264,3.3652568,4.786842,
4,115000.02,1.78397,0.33548048,0.39453605,0.34455252,3.549395,3.2317975,
4,116000.01,1.7841157,0.34745857,0.37894362,0.23577967,3.733281,1.9646018,
4,117000.0,1.7834282,0.3602397,0.36184332,0.11135598,3.916621,0.45105866,
