ParticleID,Time (Years),a,e,i,OMEGA,omega,M,
5,0.0,1.7757945,0.28748652,0.42707035,2.270287,0.3494923,1.4027448,
5,1000.01495,1.7804,0.2865062,0.41686052,2.1683683,0.5411933,0.3040788,
5,2000.0052,1.778674,0.30179954,0.4092324,2.067719,0.7113675,5.554972,
5,3000.0203,1.7776408,0.31605762,0.4001023,1.9552921,0.8739639,0.13908774,
5,4000.0105,1.7816504,0.31551912,0.38851565,1.8158969,1.074154,1.2604839,
5,5000.001,1.7774959,0.334179,0.37829244,1.6830577,1.2429668,2.0723152,
5,6000.016,1.778938,0.33430746,0.37412977,1.5388491,1.4021231,2.2723048,
5,7000.0063,1.7810842,0.3235517,0.3739964,1.3917439,1.5691364,2.8525171,
5,8000.021,1.7763512,0.3317378,0.3734342,1.2334797,1.7662948,5.0436254,
5,9000.012,1.7804817,0.31496668,0.37736815,1.1007538,1.9118774,3.9617064,
5,10000.002,1.7778485,0.3124465,0.38358358,0.96075326,2.0922348,3.84899,
5,11000.017,1.7802982,0.2965978,0.3885305,0.8414958,2.2437978,3.7225964,
5,12000.007,1.7771591,0.29195872,0.3969554,0.72256553,2.4263031,3.7326245,
5,13000.022,1.7808421,0.27409336,0.39881697,0.62023413,2.5853186,3.0336947,
5,14000.013,1.7762349,0.27552783,0.40570757,0.517981,2.778076,3.750652,
5,15000.003,1.7815567,0.260794,0.40148285,0.42349967,2.9522653,2.148067,
5,16000.018,1.7759646,0.27152714,0.4037065,0.3300903,3.1413033,4.185966,
5,17000.008,1.7814001,0.26373982,0.39364395,0.23118785,3.323895,1.09873,
5,18000.023,1.775975,0.28268775,0.38998273,0.13670933,3.498329,4.2157125,
5,19000.014,1.7815248,0.2803008,0.37593743,0.022490665,3.6835284,0.7078739,
5,20000.004,1.77619,0.3035312,0.36679062,6.1998186,3.8418467,3.404864,
5,21000.02,1.7812659,0.30274087,0.35280824,6.060462,4.030601,1.1158638,
5,22000.01,1.7776535,0.32186845,0.34035525,5.92735,4.1982746,1.5701967,
5,23000.023,1.7788756,0.3253987,0.33164337,5.772587,4.374707,1.7792785,
5,24000.014,1.7804086,0.3222993,0.32682195,5.610027,4.5544596,1.7888874,
5,25000.004,1.7768043,0.3340766,0.3213246,5.4352064,4.7610197,4.951088,
5,26000.02,1.7793672,0.32111242,0.32513544,5.2721295,4.944485,4.3646674,
5,27000.01,1.7804817,0.31288183,0.330714,5.114925,5.128514,2.993872,
5,28000.0,1.7761048,0.30973548,0.34229586,4.956315,5.349036,1.8662565,
5,29000.016,1.7805907,0.2863427,0.3510123,4.834155,5.5258865,0.080646224,
5,30000.006,1.7787156,0.2786734,0.36148763,4.712564,5.716984,5.351275,
5,31000.02,1.7776848,0.27069506,0.37035063,4.6015453,5.9120893,6.241029,
5,32000.01,1.781269,0.25587088,0.3725762,4.5018587,6.1039033,0.29118407,
5,33000.0,1.7761847,0.2637735,0.38024437,4.4037247,0.03061783,3.6786602,
5,34000.016,1.780111,0.25713727,0.3762255,4.304041,0.23826781,2.447759,
5,35000.008,1.7789472,0.26529023,0.37477034,4.2024226,0.42728555,1.7219135,
