ParticleID,Time (Years),a,e,i,OMEGA,omega,M,
10,0.0,1.7757939,0.28748652,0.42707053,2.2702866,0.34949175,1.4027458,
10,1000.01495,1.7804023,0.28651005,0.4168596,2.1683698,0.54120976,0.30459812,
10,2000.0052,1.7787089,0.301809,0.40921876,2.0677068,0.7114803,5.541681,
10,3000.0203,1.7776043,0.3162364,0.40007955,1.9553827,0.87412935,0.12523283,
10,4000.0105,1.7817338,0.31590462,0.38843656,1.8159721,1.0744009,1.2010229,
10,5000.001,1.7788589,0.3327867,0.37792137,1.6781273,1.2564636,0.90725976,
10,6000.016,1.7761781,0.34401396,0.37022272,1.5247133,1.4479643,0.95130277,
10,7000.0063,1.7815495,0.32931983,0.37212947,1.3719927,1.6234872,3.5049002,
10,8000.021,1.7830089,0.32613292,0.37385175,1.2234771,1.7993039,4.5525465,
10,9000.012,1.7822207,0.31748772,0.38069236,1.0767206,1.9951004,5.239379,
10,10000.002,1.7834338,0.30152202,0.3883776,0.9485924,2.1724162,5.643781,
10,11000.017,1.7823274,0.29046315,0.3965829,0.8285245,2.3555899,5.836665,
10,12000.007,1.7825694,0.27524093,0.40389508,0.72331464,2.557737,0.4339176,
10,13000.022,1.7835902,0.26305443,0.40659392,0.62554556,2.744296,0.5933117,
10,14000.013,1.7819563,0.260049,0.40884525,0.5325928,2.9613996,1.0932997,
10,15000.003,1.7833753,0.2562419,0.40436107,0.4422379,3.176685,1.7338827,
10,16000.018,1.7826796,0.26228,0.3985893,0.34821513,3.3735168,1.792022,
10,17000.008,1.7825818,0.2727489,0.38816184,0.2509264,3.584823,2.5571632,
10,18000.023,1.7836254,0.28127295,0.37496772,0.13927016,3.7781792,2.9038606,
10,19000.014,1.7822809,0.29672623,0.361674,0.02076561,3.961323,3.2078824,
10,20000.004,1.7826463,0.3064912,0.3469793,6.1637487,4.1625624,3.8577957,
10,21000.02,1.783089,0.3134743,0.33623093,6.0136847,4.345164,4.0841436,
10,22000.01,1.7824173,0.31981105,0.3276645,5.847326,4.5526214,4.657966,
10,23000.023,1.7832309,0.31593776,0.32554993,5.6768365,4.757461,5.355102,
10,24000.014,1.7825733,0.31291118,0.32678565,5.510941,4.952076,5.9560685,
10,25000.004,1.7819655,0.3051932,0.33334446,5.349289,5.160935,0.78765446,
10,26000.02,1.7825835,0.29121447,0.34241772,5.206805,5.358969,2.018909,
10,27000.01,1.7834295,0.27844995,0.35086462,5.077423,5.54721,2.916404,
10,28000.0,1.7819427,0.2688208,0.36051697,4.9587727,5.7510695,3.9804683,
10,29000.016,1.7821506,0.25808218,0.36745265,4.8531647,5.964465,5.2443566,
10,30000.006,1.7832124,0.25047573,0.37036312,4.7522316,6.169947,6.0803366,
10,31000.02,1.782256,0.25227588,0.37243608,4.652823,0.09888388,0.8297264,
10,32000.01,1.7821007,0.25745288,0.37061492,4.554236,0.3166548,2.0700693,
10,33000.0,1.7830539,0.26390558,0.36506456,4.4486074,0.5233946,2.9104867,
10,34000.016,1.7824345,0.27610454,0.35953674,4.336065,0.7133118,3.8004272,
10,35000.008,1.7822508,0.2901192,0.3519439,4.213988,0.90623283,5.032982,
10,36000.02,1.7828661,0.30034608,0.34447038,4.0766444,1.1010927,6.0325856,
10,37000.01,1.7826891,0.30891857,0.3402333,3.931684,1.2809153,0.50257033,
10,38000.004,1.7821882,0.3174795,0.33780447,3.7765062,1.4720501,1.5266426,
10,39000.016,1.7830098,0.31842926,0.34010917,3.6159704,1.6656407,2.3393834,
10,40000.008,1.7837847,0.31714538,0.3461306,3.4629016,1.8460813,2.2918668,
10,41000.023,1.7839767,0.31153908,0.3557166,3.3149135,2.028494,0.48415184,
10,42000.01,1.7839,0.30310082,0.36774722,3.1787555,2.2075355,4.7174234,
10,43000.004,1.7837473,0.29353586,0.38040286,3.0556374,2.3814046,2.67502,
10,44000.02,1.78371,0.28243864,0.39224812,2.945244,2.5524976,0.72893685,
10,45000.008,1.7842425,0.2715552,0.4027323,2.8446383,2.7329166,4.991188,
10,46000.023,1.7843112,0.26399156,0.41103566,2.7513604,2.922065,3.0717187,
10,47000.01,1.7840236,0.26120865,0.41660115,2.6623328,3.1153722,1.0569761,
10,48000.004,1.783511,0.26298818,0.41897058,2.5745375,3.3066554,5.244377,
10,49000.02,1.7836837,0.26800886,0.41773927,2.4854658,3.492347,3.1861908,
10,50000.008,1.7839829,0.27674046,0.41339657,2.3928773,3.676464,1.0938299,
10,51000.023,1.7840505,0.28900757,0.40685993,2.2940388,3.8539035,5.3880258,
10,52000.016,1.7837405,0.3025601,0.39866096,2.1863556,4.0247993,3.3952644,
10,53000.004,1.7838026,0.31520098,0.39022383,2.0686104,4.1881065,1.3657842,
10,54000.02,1.7840154,0.32464296,0.38232672,1.9393495,4.354069,5.5742636,
10,55000.01,1.7835528,0.33121487,0.3761604,1.7996643,4.526855,3.7143433,
10,56000.0,1.7831564,0.33597982,0.3726128,1.6544611,4.7007484,3.2744462,
10,57000.016,1.783001,0.33510268,0.37294808,1.5086324,4.871373,1.9135087,
10,58000.004,1.7832448,0.33058038,0.3765518,1.3639565,5.04883,1.2563069,
10,59000.02,1.7832953,0.32322863,0.38251254,1.2283162,5.220975,0.5798584,
10,60000.01,1.7834269,0.31277177,0.39050162,1.103703,5.395129,6.1530237,
10,61000.0,1.7831718,0.3029847,0.39838305,0.98851043,5.5699897,5.440284,
10,62000.016,1.7836342,0.29199138,0.4048747,0.8848182,5.7486744,4.7390294,
10,63000.008,1.7832042,0.28552046,0.41001096,0.78798217,5.9368033,4.0464387,
