ParticleID,Time (Years),a,e,i,OMEGA,omega,M,
12,0.0,1.7757944,0.28748646,0.42707086,2.2702873,0.34949112,1.4027456,
12,1000.01495,1.7804003,0.28650662,0.4168609,2.168369,0.541194,0.30413947,
12,2000.0052,1.778678,0.30180067,0.4092313,2.0677183,0.7113796,5.5534363,
12,3000.0203,1.7776374,0.31607926,0.40010065,1.9553044,0.8739768,0.13707033,
12,4000.0105,1.7816554,0.3155479,0.3885094,1.8158996,1.0741854,1.2588522,
12,5000.001,1.7775159,0.334207,0.37827063,1.68296,1.2432714,2.0571423,
12,6000.016,1.7787675,0.33437034,0.3740784,1.5383158,1.403993,2.3340125,
12,7000.0063,1.780272,0.33169496,0.37237918,1.3900495,1.5690565,1.3193154,
12,8000.021,1.7761073,0.33806187,0.37229306,1.2287471,1.7701846,0.054906167,
12,9000.012,1.7815582,0.3183292,0.37676552,1.0965579,1.9144237,2.6029956,
12,10000.002,1.775917,0.32058534,0.38512152,0.948017,2.1197011,4.745026,
12,11000.017,1.7816446,0.29743752,0.38920686,0.83456355,2.2600548,2.8315885,
12,12000.007,1.7759894,0.29744178,0.39935455,0.71254754,2.4518015,4.7258406,
12,13000.022,1.7821082,0.2764492,0.3996862,0.6128346,2.6008809,1.5741853,
12,14000.013,1.776041,0.28032327,0.40773603,0.5095517,2.7988791,5.3550196,
12,15000.003,1.7813282,0.26614,0.40340665,0.41589963,2.9723837,0.35333952,
12,16000.018,1.7766347,0.27573466,0.40464208,0.32317546,3.1680782,5.602929,
12,17000.008,1.7805597,0.27286723,0.3954225,0.22577402,3.3558013,5.7554135,
12,18000.023,1.7774521,0.287514,0.38872725,0.12814572,3.535835,5.562624,
12,19000.014,1.7806365,0.29086566,0.37530223,0.015480284,3.7189302,5.390462,
12,20000.004,1.7763306,0.31282836,0.36404127,6.1872993,3.8857083,4.5399423,
12,21000.02,1.7815353,0.31027317,0.34890407,6.040293,4.087534,0.25064397,
12,22000.01,1.7772372,0.3321428,0.3351939,5.899777,4.267256,1.4662442,
12,23000.023,1.7787178,0.3326905,0.3273748,5.734519,4.458025,1.9767375,
12,24000.014,1.7810252,0.32639554,0.3243579,5.5619717,4.6575394,1.5297145,
12,25000.004,1.7776777,0.33235106,0.32377326,5.3738346,4.8996015,3.1092567,
12,26000.02,1.7786348,0.3237529,0.328711,5.2113614,5.086079,3.9969032,
12,27000.01,1.7812086,0.30792433,0.33654404,5.0649233,5.263463,3.3116057,
12,28000.0,1.7762923,0.30363208,0.35158485,4.915739,5.498007,0.058696486,
12,29000.016,1.7793759,0.28437275,0.360048,4.7987514,5.6810246,0.39608076,
12,30000.006,1.7800587,0.27268434,0.36807802,4.688676,5.8712606,4.7999754,
12,31000.02,1.782297,0.26067734,0.37350827,4.589253,6.0923657,3.5376377,
12,32000.01,1.7814062,0.25969213,0.37720433,4.493084,0.041097116,2.079848,
