ParticleID,Time (Years),a,e,i,OMEGA,omega,M,
13,0.0,1.7757945,0.28748652,0.42707035,2.270287,0.34949234,1.4027448,
13,1000.01495,1.7804,0.2865061,0.41686055,2.1683683,0.54119277,0.30406258,
13,2000.0052,1.7786729,0.30179924,0.40923283,2.0677192,0.7113639,5.5553837,
13,3000.0203,1.7776417,0.3160518,0.40010285,1.955289,0.87396014,0.13963895,
13,4000.0105,1.7816492,0.31551197,0.38851735,1.8158966,1.0741451,1.2607697,
13,5000.001,1.7774923,0.33417204,0.3782972,1.6830778,1.2429029,2.0751164,
13,6000.016,1.7789266,0.3342894,0.37414414,1.5389292,1.4018599,2.2696595,
13,7000.0063,1.780538,0.32970512,0.37289163,1.3924156,1.5640267,1.7209193,
13,8000.021,1.7762432,0.33670995,0.37194782,1.2348722,1.7534047,0.29266462,
13,9000.012,1.781301,0.31820598,0.37590033,1.1025953,1.8952957,2.4666865,
13,10000.002,1.7759552,0.32161894,0.38265443,0.9547134,2.089376,5.5341983,
13,11000.017,1.7817295,0.30030042,0.38619322,0.83954924,2.2226818,1.9546095,
13,12000.007,1.7764679,0.29980466,0.39539146,0.7150585,2.4070706,6.058098,
13,13000.022,1.780355,0.28353608,0.397905,0.6111905,2.5581613,0.5694708,
13,14000.013,1.7782898,0.27932835,0.4033575,0.50770634,2.7450154,0.31527016,
13,15000.003,1.778507,0.27437714,0.4042691,0.41209543,2.9268703,6.1268244,
13,16000.018,1.7800853,0.2699222,0.40079102,0.31738168,3.111836,6.132249,
13,17000.008,1.7770355,0.27996424,0.39830205,0.22399722,3.297792,6.1309896,
13,18000.023,1.7809397,0.27907118,0.38721973,0.12076668,3.4819982,5.37109,
13,19000.014,1.776621,0.29790026,0.37944013,0.020969804,3.652298,6.0199494,
13,20000.004,1.7804359,0.3009059,0.3649888,6.1807847,3.8364081,5.0971813,
13,21000.02,1.7781817,0.3190232,0.3521341,6.057894,4.0058284,4.8387265,
13,22000.01,1.7784067,0.32710165,0.33983797,5.9129148,4.185792,5.3940387,
13,23000.023,1.7806545,0.32909182,0.33015513,5.753139,4.3732615,4.581357,
13,24000.014,1.7764677,0.3436475,0.32004702,5.57032,4.6100745,1.3343403,
13,25000.004,1.7788832,0.3352403,0.32075176,5.3969507,4.803079,1.5925329,
13,26000.02,1.7814443,0.32146534,0.32558095,5.232965,4.9922457,1.317029,
13,27000.01,1.7767067,0.32264343,0.33488625,5.058198,5.226808,3.8925054,
13,28000.0,1.7796081,0.30334666,0.3436132,4.9228907,5.39862,3.5609994,
13,29000.016,1.7790985,0.29363272,0.3539082,4.7927947,5.5820537,2.5132813,
13,30000.006,1.7774862,0.28552458,0.36457852,4.672743,5.773619,3.065338,
13,31000.02,1.78067,0.26925454,0.36950752,4.5685606,5.955652,3.1063566,
13,32000.01,1.7758303,0.27374965,0.37977064,4.4669614,6.172889,0.820248,
13,33000.0,1.7804222,0.2628983,0.37733957,4.370295,0.102315925,5.774494,
13,34000.016,1.779731,0.26972342,0.37734488,4.2719197,0.30338526,4.2184634,
13,35000.008,1.781881,0.27517602,0.37038887,4.1677866,0.5297752,3.8129532,
13,36000.02,1.7793409,0.2932639,0.36468098,4.060045,0.72841763,3.419446,
13,37000.01,1.7811413,0.30233398,0.354117,3.9289484,0.9472832,3.7531261,
13,38000.004,1.7798676,0.31948206,0.34731984,3.7946255,1.1297855,2.8488543,
13,39000.016,1.7809275,0.325394,0.3428292,3.6413116,1.3229004,1.2761289,
13,40000.008,1.7802771,0.33490562,0.33995998,3.4740667,1.5421133,1.5757645,
13,41000.023,1.7798836,0.3352563,0.34396216,3.3143551,1.7246116,0.40149215,
13,42000.01,1.7788553,0.3372353,0.35187224,3.1450188,1.9438324,2.2518685,
13,43000.004,1.776541,0.336625,0.36424366,2.9897118,2.1449354,1.3150023,
13,44000.02,1.7790637,0.3187849,0.37834996,2.8647332,2.3152213,0.5585678,
13,45000.008,1.7807722,0.30167967,0.39082786,2.752545,2.482755,0.33400545,
13,46000.023,1.7775302,0.2994396,0.40630487,2.641059,2.6763022,2.6621907,
13,47000.01,1.7785407,0.28732166,0.4139493,2.545975,2.846883,2.8640819,
13,48000.004,1.7801288,0.27675977,0.41808912,2.4569104,3.0243247,2.8756456,
13,49000.02,1.7765222,0.28393888,0.4247388,2.366443,3.2048023,0.5987746,
13,50000.008,1.7809296,0.2783388,0.4200404,2.2783015,3.3942134,4.480849,
13,51000.023,1.7776153,0.2918545,0.41923264,2.187785,3.5640795,5.026897,
13,52000.016,1.7788237,0.29945847,0.41179293,2.0888867,3.7358108,5.3201632,
13,53000.004,1.7800196,0.30703214,0.40184796,1.9814701,3.9093034,5.068824,
13,54000.02,1.7767069,0.32410702,0.39464682,1.8707013,4.0547023,3.9825218,
13,55000.01,1.7808776,0.32641348,0.38234565,1.7350254,4.2465653,0.2670228,
13,56000.0,1.7795786,0.34207052,0.37396058,1.6033432,4.401898,0.10478058,
13,57000.016,1.7769526,0.3556252,0.36473593,1.4504895,4.598661,4.142478,
13,58000.004,1.777277,0.35519308,0.36260223,1.290096,4.7882447,5.5430036,
13,59000.02,1.7770584,0.3528293,0.3640188,1.1349134,4.9690614,0.9072403,
13,60000.01,1.7761395,0.34889814,0.36952022,0.9805779,5.1646247,2.038465,
13,61000.0,1.7768239,0.3374109,0.37987587,0.8397974,5.364546,2.8096468,
13,62000.016,1.777598,0.32347414,0.38919023,0.7195196,5.5462465,4.205603,
13,63000.008,1.7769004,0.31385493,0.39718267,0.6078298,5.730455,5.795526,
13,64000.02,1.776024,0.30840096,0.40545774,0.50638425,5.9344,6.2803802,
13,65000.01,1.7773907,0.3021625,0.4073657,0.41637075,6.139213,0.5798688,
13,66000.0,1.7776041,0.30325976,0.40512732,0.32518852,0.047914606,2.253261,
13,67000.016,1.7758069,0.3156582,0.40126687,0.23508061,0.24449527,2.7138536,
13,68000.01,1.7781351,0.3260967,0.38874733,0.13948536,0.44758505,2.8494492,
13,69000.02,1.777545,0.34046438,0.37468088,0.029601313,0.6276717,4.582439,
13,70000.016,1.7757671,0.3614968,0.35881874,6.19195,0.81101036,5.054526,
13,71000.0,1.7769444,0.3754384,0.33976397,6.0445857,1.0146828,6.051254,
13,72000.016,1.7765524,0.38533452,0.32478428,5.873333,1.2231853,1.9676138,
13,73000.01,1.7738843,0.39308697,0.3147708,5.688277,1.4337293,0.810378,
13,74000.02,1.7745893,0.39295337,0.31178057,5.4881415,1.6654556,1.0730033,
13,75000.016,1.773869,0.38947988,0.31572813,5.295743,1.8842946,1.8519485,
13,76000.01,1.7742769,0.3815946,0.32684392,5.1122856,2.1104946,2.0298686,
13,77000.016,1.7747352,0.36891246,0.34118596,4.9558334,2.3148584,3.0455241,
13,78000.01,1.7739929,0.35759076,0.356154,4.818032,2.5108924,3.101287,
13,79000.02,1.773846,0.34482068,0.37030864,4.700266,2.7075565,4.3800297,
13,80000.016,1.7737001,0.3353455,0.38058192,4.595836,2.9023407,0.0720256,
13,81000.01,1.7739807,0.330611,0.38651976,4.4988184,3.0988688,2.0685341,
13,82000.02,1.7744429,0.3315982,0.3880366,4.4037232,3.2953246,3.9102745,
13,83000.01,1.7735788,0.33848497,0.38514215,4.3061953,3.488867,5.995464,
13,84000.0,1.774442,0.35198936,0.3785151,4.2023964,3.6788623,0.9912265,
13,85000.016,1.7745806,0.3657077,0.36760035,4.0852284,3.8715324,2.1145024,
13,86000.01,1.7744844,0.38010812,0.35557643,3.9493818,4.063528,1.853734,
13,87000.02,1.7744642,0.39478317,0.3439504,3.7951148,4.2641945,1.8931869,
13,88000.01,1.771758,0.4042662,0.33625326,3.6197867,4.472997,3.737874,
13,89000.0,1.7724321,0.4108247,0.33341146,3.4326417,4.687046,3.48409,
13,90000.016,1.7722148,0.41150597,0.3382363,3.2410617,4.906959,2.8308573,
13,91000.01,1.7719465,0.40755302,0.34976202,3.0612276,5.1147375,2.1622422,
13,92000.02,1.7722608,0.39764652,0.36654812,2.899737,5.311697,1.5284336,
13,93000.016,1.7721454,0.3856022,0.38551903,2.7585835,5.4983873,0.85672385,
13,94000.0,1.7722694,0.371322,0.40363058,2.6391191,5.675027,0.12772387,
13,95000.016,1.7718956,0.35823685,0.41944414,2.534887,5.851287,5.713162,
13,96000.01,1.7720863,0.34732977,0.43077537,2.4420135,6.0283947,4.986306,
13,97000.02,1.7718854,0.34171218,0.4376476,2.3562484,6.210271,4.2155795,
13,98000.016,1.7718588,0.34123886,0.43924296,2.2724657,0.10698725,3.4624,
13,99000.0,1.7726585,0.3459688,0.43553072,2.1870139,0.28903466,2.656869,
13,100000.016,1.771828,0.35626343,0.4274984,2.0953288,0.46616766,1.9651837,
13,101000.01,1.7720293,0.36875343,0.41526166,1.9933494,0.6405261,1.1812502,
13,102000.02,1.7720176,0.38277304,0.40061295,1.877872,0.8151437,0.49817213,
