ParticleID,Time (Years),a,e,i,OMEGA,omega,M,
9,0.0,1.7757937,0.28748673,0.42707023,2.2702873,0.34949052,1.4027461,
9,1000.01495,1.7804033,0.2865119,0.41685882,2.1683712,0.54121625,0.30482775,
9,2000.0052,1.7787244,0.30181307,0.40921232,2.0677023,0.711529,5.5356846,
9,3000.0203,1.7775844,0.31630924,0.40006417,1.9554144,0.87424994,0.1218406,
9,4000.0105,1.7818041,0.3161678,0.3883794,1.8160274,1.0745884,1.150059,
9,5000.001,1.7783892,0.3335019,0.3777082,1.6782157,1.2571374,1.1720513,
9,6000.016,1.7773592,0.33999416,0.37176532,1.5306834,1.4288539,2.252592,
9,7000.0063,1.776792,0.33564103,0.37221736,1.359678,1.6631628,0.98182875,
9,8000.021,1.7780753,0.32574,0.37605503,1.2121258,1.8387282,2.548814,
9,9000.012,1.7771688,0.31726044,0.38277858,1.0689491,2.025299,4.3684993,
9,10000.002,1.7759535,0.30151823,0.3951181,0.93757796,2.2448921,3.7873678,
9,11000.017,1.7787671,0.2801659,0.40144405,0.8301973,2.4224887,4.4990387,
9,12000.007,1.7817774,0.2618618,0.40548018,0.7314897,2.6106706,2.9722111,
9,13000.022,1.7773309,0.25820777,0.4124529,0.6385784,2.8614511,4.993084,
9,14000.013,1.7785399,0.2527304,0.41028497,0.5479137,3.0725248,0.41308898,
9,15000.003,1.7766764,0.2588276,0.40512183,0.4632953,3.328762,4.425695,
9,16000.018,1.778073,0.26454723,0.39488864,0.36650684,3.5343769,6.240875,
9,17000.008,1.7768358,0.27873695,0.38393146,0.26382518,3.7260017,1.7638317,
9,18000.023,1.7753441,0.2965792,0.3685357,0.1497546,3.9305596,2.411728,
9,19000.014,1.7766626,0.30653673,0.35206413,0.012251931,4.1398907,3.4408543,
9,20000.004,1.7772067,0.31336978,0.34013087,6.144231,4.334504,5.523171,
9,21000.02,1.7770106,0.31768897,0.33190873,5.981482,4.53364,1.6719539,
9,22000.01,1.77792,0.315979,0.32870698,5.815044,4.729012,3.7104778,
9,23000.023,1.7769037,0.3156711,0.33080894,5.633032,4.9780684,2.269319,
9,24000.014,1.7788652,0.30235907,0.33622798,5.4824705,5.1596556,3.0093572,
9,25000.004,1.7818977,0.28094158,0.344967,5.347558,5.3533096,3.250168,
9,26000.02,1.7787708,0.27558476,0.35655835,5.212778,5.5772834,3.2882924,
9,27000.01,1.7763256,0.2688311,0.36606917,5.0943875,5.781794,4.1965766,
9,28000.0,1.7811444,0.24884972,0.36927012,4.9969153,6.005003,0.75446904,
9,29000.016,1.7789955,0.25012323,0.374075,4.8955584,6.2146115,5.7709155,
9,30000.006,1.7759906,0.25691402,0.37682733,4.7979755,0.14481574,6.0952635,
9,31000.02,1.779054,0.2583154,0.37009394,4.6997614,0.38575882,4.525249,
9,32000.01,1.781352,0.26385817,0.36242405,4.5903063,0.59532076,3.4529645,
9,33000.0,1.7808473,0.28126863,0.35424507,4.477024,0.80482334,3.1938622,
9,34000.016,1.7802824,0.29405552,0.34709424,4.349593,0.98520416,1.0771127,
9,35000.008,1.7812417,0.3029672,0.34018603,4.206348,1.1769379,5.2382574,
9,36000.02,1.7817155,0.31043917,0.3356252,4.0519056,1.376112,3.4673004,
9,37000.01,1.781259,0.31682107,0.3349027,3.8924215,1.5709475,1.7003974,
9,38000.004,1.7821448,0.3167424,0.33907142,3.7335646,1.7564322,4.5411854,
9,39000.016,1.7810713,0.3134928,0.3470953,3.5806599,1.939911,1.7169161,
9,40000.008,1.7807933,0.30727708,0.35734054,3.439033,2.1142201,5.868725,
9,41000.023,1.7811388,0.29667,0.36957395,3.3099892,2.2864769,3.8948426,
9,42000.01,1.7813519,0.28439108,0.382595,3.1936328,2.4652326,2.2667723,
9,43000.004,1.7808286,0.27548215,0.39495742,3.0866396,2.6479096,0.64465433,
9,44000.02,1.7805321,0.2673012,0.40446103,2.98897,2.8267698,4.8772645,
9,45000.008,1.7807099,0.26091266,0.41119993,2.8979053,3.013373,2.7037528,
9,46000.023,1.7813951,0.25790775,0.41469094,2.810424,3.2090557,1.0256363,
9,47000.01,1.7811213,0.26230156,0.41605794,2.7236593,3.4063778,5.798754,
9,48000.004,1.7808514,0.27090234,0.41453633,2.6335645,3.5898476,3.792516,
9,49000.02,1.7807357,0.280855,0.40992388,2.5379212,3.765078,1.6802554,
9,50000.008,1.78106,0.2921369,0.40286455,2.4350195,3.9391346,6.0567584,
9,51000.023,1.7810901,0.30557182,0.39471716,2.323592,4.1100783,4.55267,
9,52000.016,1.7808566,0.3183617,0.3869816,2.202452,4.274084,2.7178743,
9,53000.004,1.7806387,0.32719415,0.38087252,2.0716834,4.4347277,0.6822911,
9,54000.02,1.78134,0.331649,0.3769569,1.9319686,4.6018987,4.9122386,
9,55000.01,1.7800298,0.3358624,0.37468234,1.785208,4.78446,5.651325,
9,56000.0,1.7802356,0.33145288,0.37765986,1.6439034,4.9509897,5.231198,
9,57000.016,1.7796153,0.3277222,0.38217995,1.5045681,5.1242647,5.516976,
9,58000.004,1.7801925,0.3177245,0.39024293,1.3767715,5.29471,5.7418556,
9,59000.02,1.7803133,0.3087261,0.39789107,1.2575476,5.462007,5.3926587,
9,60000.01,1.7804217,0.297266,0.40632993,1.1508636,5.6396613,5.620538,
9,61000.0,1.780141,0.28925535,0.41224736,1.0506632,5.811011,4.88458,
9,62000.016,1.7807544,0.28180638,0.41639018,0.9598007,6.00186,5.025646,
9,63000.008,1.7799833,0.28126442,0.41776675,0.87010086,6.183411,4.2627635,
9,64000.02,1.7809694,0.28146607,0.41444284,0.78441495,0.090891555,3.614297,
9,65000.01,1.7798225,0.2910888,0.41008794,0.6957517,0.27372676,3.503257,
9,66000.0,1.7808412,0.30018944,0.3996722,0.602683,0.4591706,3.4093564,
9,67000.016,1.7798247,0.3149435,0.3889028,0.5020939,0.62728494,2.849885,
9,68000.01,1.7806716,0.32599914,0.37421927,0.3872425,0.80281,2.4380136,
9,69000.02,1.780244,0.34173742,0.36048055,0.26292443,0.96973425,2.5041287,
9,70000.016,1.7808778,0.3496433,0.34727105,0.11876051,1.1491473,1.1785377,
9,71000.0,1.7802767,0.35859242,0.3362969,6.2455335,1.337661,1.467998,
9,72000.016,1.780013,0.35857457,0.3303757,6.0773444,1.5305643,1.8396547,
9,73000.01,1.7795838,0.35842144,0.3281532,5.9099946,1.7202554,2.360655,
9,74000.02,1.780398,0.3532474,0.33183852,5.740783,1.926752,2.3612792,
9,75000.016,1.7805662,0.3445777,0.3385444,5.5874343,2.1158812,1.4193572,
9,76000.01,1.7806364,0.3326652,0.34888598,5.44677,2.3126836,0.92970777,
9,77000.016,1.7800052,0.32260936,0.3586047,5.3203077,2.4991684,0.061473005,
9,78000.01,1.7810218,0.3103002,0.36700782,5.2095947,2.6910582,5.6856284,
9,79000.02,1.7798864,0.304765,0.3742813,5.105194,2.8879306,4.936175,
9,80000.016,1.7805364,0.29877687,0.3760522,5.0088353,3.081112,4.904353,
9,81000.01,1.7802297,0.30357516,0.377213,4.912741,3.2766933,4.9719715,
9,82000.02,1.7807074,0.30832824,0.3724928,4.8141627,3.472594,4.0279193,
9,83000.01,1.7802312,0.32096285,0.36605313,4.7111435,3.6637855,3.8020492,
9,84000.0,1.7808204,0.33135864,0.35621694,4.593898,3.8510852,2.911178,
9,85000.016,1.77899,0.3482043,0.346238,4.4679174,4.035923,4.498814,
9,86000.01,1.7778045,0.36485776,0.33574277,4.3246098,4.227371,1.8449157,
9,87000.02,1.77751,0.3743569,0.32912058,4.1633306,4.4170933,0.95524275,
9,88000.01,1.7795744,0.3777171,0.32574147,3.982877,4.6329293,4.5320463,
9,89000.0,1.7804604,0.3776518,0.32871094,3.803708,4.8378167,5.0261755,
9,90000.016,1.7790316,0.3763278,0.33616778,3.6281772,5.0416465,5.9061236,
9,91000.01,1.7785468,0.3720533,0.34951445,3.4623759,5.245655,2.5550554,
9,92000.02,1.7780263,0.36389187,0.36492404,3.3169403,5.4285927,1.0553033,
9,93000.016,1.7791616,0.34806287,0.3798916,3.1939974,5.597524,5.0700927,
9,94000.0,1.7793653,0.33408165,0.39315373,3.0842042,5.7628546,6.115307,
9,95000.016,1.7783053,0.32709894,0.40645275,2.9816983,5.938266,2.4692686,
9,96000.01,1.7783319,0.3200648,0.41500813,2.8875632,6.1085706,0.6156888,
9,97000.02,1.7802083,0.31330326,0.41816396,2.7980044,6.2831697,2.9261017,
9,98000.016,1.7785488,0.3179601,0.42108884,2.7108777,0.17813331,4.5578284,
9,99000.0,1.7781066,0.32504493,0.41928267,2.6200604,0.3505969,3.0847669,
9,100000.016,1.7793269,0.3296351,0.41113347,2.5207055,0.5292393,5.9909754,
9,101000.01,1.7789154,0.34246102,0.40317953,2.4166532,0.6941064,0.75751185,
9,102000.02,1.7779452,0.35730642,0.39351863,2.302982,0.85856974,4.7158585,
9,103000.016,1.7790537,0.36618027,0.38285196,2.1705048,1.0317622,2.5439763,
9,104000.01,1.780117,0.37315562,0.37412333,2.026648,1.2051543,3.514995,
9,105000.016,1.7800205,0.3819993,0.36599928,1.873223,1.3865306,4.0001817,
9,106000.01,1.7795433,0.3810801,0.3641377,1.7082115,1.5816517,4.46848,
9,107000.02,1.7803965,0.37741554,0.3657834,1.552812,1.7535989,5.0290875,
9,108000.016,1.7800319,0.37262666,0.37280926,1.3957834,1.9486704,5.3832846,
9,109000.01,1.7798895,0.35686067,0.38165992,1.2610297,2.116725,5.8071046,
9,110000.02,1.7797531,0.34830764,0.39145693,1.1327837,2.2891502,0.11243293,
9,111000.01,1.7799717,0.33290717,0.4015558,1.0224323,2.47,0.49573666,
9,112000.0,1.7802694,0.31945962,0.40678746,0.92161477,2.632227,0.9426405,
9,113000.016,1.7799798,0.31467313,0.41278315,0.82783103,2.8186612,1.407565,
9,114000.01,1.780091,0.30457819,0.4107853,0.7400169,3.003844,1.7793796,
9,115000.02,1.7798194,0.30751526,0.40860623,0.65099967,3.1783187,2.2750857,
9,116000.01,1.7798002,0.3123105,0.40038672,0.5625328,3.372198,2.5895433,
9,117000.0,1.7795708,0.31744817,0.38899255,0.46344492,3.5458095,2.9802606,
9,118000.016,1.7803636,0.3318975,0.37614077,0.36000964,3.720816,3.4646215,
9,119000.01,1.7805212,0.3400581,0.35915524,0.2363791,3.9093282,3.9777977,
9,120000.02,1.7795252,0.3502226,0.3451735,0.103107646,4.082076,4.938917,
9,121000.016,1.7791252,0.3608267,0.3311074,6.239317,4.263631,0.9045302,
9,122000.0,1.7785325,0.3696901,0.31886443,6.075742,4.456451,4.2599936,
9,123000.016,1.7790836,0.37257975,0.3117422,5.9034095,4.6484733,1.641787,
9,124000.01,1.7795539,0.37129414,0.30966148,5.7264347,4.845236,4.0829906,
9,125000.02,1.7785592,0.36940065,0.31289306,5.5480022,5.053916,0.38062456,
9,126000.016,1.778644,0.36302805,0.3201942,5.3830414,5.2509437,4.335206,
9,127000.0,1.7793368,0.35280216,0.32946575,5.2347274,5.4379225,0.5448316,
9,128000.016,1.778317,0.34522858,0.34097916,5.0985904,5.628959,3.50392,
9,129000.01,1.7791886,0.33516976,0.3498756,4.978654,5.8085856,1.0338738,
9,130000.02,1.7792811,0.32836163,0.3574352,4.867745,5.991714,3.129386,
9,131000.016,1.778488,0.3261978,0.36262807,4.7636905,6.176429,0.66647065,
9,132000.0,1.779975,0.32436892,0.36264035,4.6615887,0.07537736,3.3416073,
9,133000.02,1.7784765,0.33150175,0.36153534,4.560141,0.25864986,6.133892,
9,134000.02,1.7789503,0.3374408,0.35541528,4.4505243,0.4406909,3.7651818,
9,135000.03,1.779268,0.3489787,0.347411,4.3334527,0.622798,5.0698757,
9,136000.02,1.7775937,0.36477652,0.33805847,4.2072,0.804717,3.161241,
9,137000.0,1.7796845,0.3705654,0.32754615,4.053463,1.0043017,0.5581577,
9,138000.02,1.778882,0.3818883,0.3192178,3.8919759,1.2007717,1.4063505,
9,139000.02,1.7782345,0.39160192,0.31436858,3.7193003,1.3959157,5.6390915,
9,140000.0,1.7778686,0.38830918,0.31660363,3.535751,1.5991548,3.756285,
9,141000.02,1.7801851,0.37774113,0.32566732,3.3503551,1.8230089,0.40345022,
9,142000.0,1.780192,0.37380436,0.33731973,3.1812208,2.025025,5.327591,
9,143000.02,1.780912,0.35697895,0.35448468,3.032126,2.2282262,5.638997,
9,144000.02,1.7781245,0.34923512,0.37203482,2.897076,2.4214745,5.348362,
9,145000.0,1.7782487,0.3385525,0.38682005,2.780807,2.5957768,5.649765,
9,146000.02,1.7804914,0.32388818,0.39688456,2.6796598,2.7624965,5.8241186,
9,147000.0,1.7769479,0.32301003,0.40865904,2.5823812,2.9456754,4.808251,
9,148000.02,1.7796663,0.3077542,0.40852043,2.4915419,3.1194391,0.7559507,
9,149000.02,1.7772411,0.31753626,0.41299123,2.4019566,3.2905817,2.855046,
9,150000.0,1.7805696,0.31542522,0.40749162,2.305363,3.460493,0.93565553,
9,151000.02,1.777995,0.32603294,0.4037454,2.2078388,3.6137514,3.200035,
9,152000.02,1.780772,0.3329103,0.39578715,2.099427,3.7665472,6.1644864,
9,153000.02,1.7781861,0.34809697,0.3876615,1.9888222,3.9141374,3.8605509,
9,154000.02,1.7791066,0.3550274,0.37749797,1.8617846,4.0672736,5.4830413,
9,155000.0,1.7783695,0.3670423,0.36772692,1.7282734,4.217817,3.81349,
9,156000.02,1.778496,0.3759324,0.35857353,1.5826067,4.375905,4.8892837,
9,157000.02,1.7795577,0.37686855,0.3528106,1.4258173,4.538897,3.5687995,
9,158000.03,1.7776989,0.38479042,0.34807748,1.2632294,4.708903,4.7963676,
9,159000.02,1.78214,0.3776954,0.34877214,1.1048869,4.8656425,1.8124465,
9,160000.0,1.7799782,0.37748444,0.35683808,0.91776913,5.1182647,1.5157394,
9,161000.02,1.7791026,0.36010125,0.36767495,0.7680753,5.3155475,5.9387918,
9,162000.02,1.7798517,0.34488672,0.37806395,0.6353824,5.504427,0.28397962,
9,163000.0,1.7766603,0.338253,0.39023998,0.51431197,5.7095356,5.680383,
9,164000.02,1.7816135,0.31870696,0.39391378,0.41398585,5.9090195,5.7898583,
9,165000.0,1.776165,0.32173058,0.39979315,0.31764302,6.130696,5.1894946,
9,166000.02,1.7738388,0.32493293,0.39712492,0.22561619,0.055297494,3.5445864,
9,167000.02,1.7748376,0.32703942,0.3852787,0.12903784,0.26923254,3.6172729,
9,168000.0,1.7740504,0.33866054,0.3710811,0.022185098,0.46891934,5.009127,
9,169000.02,1.7738323,0.35362557,0.35304755,6.1837435,0.66917586,1.1291811,
9,170000.0,1.7728187,0.37012306,0.3318597,6.0377593,0.88902354,1.750008,
9,171000.02,1.7755276,0.3772107,0.31308734,5.858475,1.1244892,2.6179817,
9,172000.02,1.7738513,0.386138,0.3006428,5.6611724,1.359157,2.6194503,
9,173000.0,1.7746714,0.38376448,0.297243,5.4377832,1.6354898,2.333847,
9,174000.02,1.7741833,0.37915167,0.30235985,5.231982,1.8756975,2.4530973,
9,175000.0,1.7743646,0.36642,0.31681743,5.0369673,2.137029,1.851964,
9,176000.02,1.7736218,0.3543604,0.33247826,4.875925,2.3587635,0.8768708,
9,177000.02,1.7753145,0.33493286,0.34799337,4.7438407,2.5805566,0.6327406,
